"id","length","time","nodes"
29,22,4,20
29,16,6,33
29,18,19,104
29,17,23,128
29,14,23,131
29,16,71,343
29,14,9828,38412
30,21,8,19
30,23,25,59
30,20,27,72
30,21,30,93
30,20,31,102
30,19,32,113
30,18,98,362
30,19,102,379
30,17,461,1202
30,17,866,2970
30,17,903,3170
30,16,1092,3701
30,16,2322,7549
30,15,9423,28734
30,14,9471,28941
30,16,12132,34640
30,15,18558,47044
30,14,18559,47052
31,18,5,16
31,19,11,38
31,18,15,55
31,16,15,60
31,17,765,1671
31,15,1508,4399
31,15,2733,7977
31,16,33348,63520
32,19,4,17
32,20,8,37
32,17,9,48
32,14,10,58
32,15,24,143
32,16,28,163
32,12,31,189
32,14,64,348
32,13,65,352
32,11,84,465
32,12,2070,7196
33,17,4,14
33,18,14,68
33,17,76,330
33,16,107,517
33,16,149,636
33,16,327,730
33,15,333,772
33,14,333,775
33,13,369,959
33,15,371,970
33,14,525,1521
33,13,4332,12876
33,12,11097,30285
34,20,158,69
34,17,294,120
34,18,461,384
34,16,461,387
34,17,1038,995
34,16,1039,1002
34,15,2338,5191
34,15,3517,8545
35,22,16,20
35,23,42,63
35,20,45,88
35,21,52,106
35,20,124,377
35,19,201,658
35,19,207,687
35,18,299,1024
35,16,983,2696
35,18,1725,5124
35,15,2894,8736
35,17,4997,13956
36,20,4,18
36,19,13,62
36,20,14,68
36,18,14,70
36,17,48,174
36,19,48,181
36,18,80,299
36,17,162,462
36,16,198,583
36,17,398,1202
36,16,1176,2801
36,15,1196,2931
36,15,2071,5243
36,16,3401,8459
36,14,5943,15307
36,14,5959,15390
36,13,6310,15800
36,12,8884,20025
37,21,5,19
37,19,11,38
37,18,14,57
37,17,16,73
37,13,31,159
37,15,81,440
37,14,143,792
37,13,163,915
37,14,462,2676
37,12,575,3410
37,11,2601,11586
37,12,6368,24563
38,16,3,14
38,17,9,53
38,15,10,54
38,16,137,531
38,15,691,1745
38,14,837,2438
38,14,1072,3545
38,13,1537,5122
38,15,15118,46911
39,19,5,17
39,20,10,33
39,18,14,47
39,18,18,64
39,17,19,74
39,16,42,173
39,17,47,210
39,15,107,538
39,16,440,2418
39,14,445,2448
39,13,800,2637
39,15,1025,3648
39,14,1482,5472
39,12,7243,26291
39,14,17015,53618
39,13,57438,110212
40,19,4,17
40,19,6,34
40,17,13,85
40,15,51,291
40,17,52,301
40,16,130,682
40,13,4978,21144
40,14,7371,29266
40,15,11094,38802
40,13,11095,38813
41,18,5,16
41,19,8,34
41,18,28,160
41,17,37,202
41,16,81,436
41,17,265,1323
41,16,1025,3456
41,16,1880,7418
41,15,3281,12282
41,15,3745,13588
41,14,3754,13625
41,13,21709,58299
41,15,35199,71778
42,19,9,17
42,20,39,65
42,19,43,83
42,17,44,90
42,18,819,2855
42,16,1349,4990
42,16,1806,5955
42,16,12140,30231
42,15,18664,51308
42,15,24008,62226
42,15,27831,72789
42,14,49298,105768
43,20,9,18
43,21,27,53
43,20,30,73
43,19,31,81
43,18,32,89
43,19,78,264
43,17,80,292
43,17,560,1849
43,15,565,1884
43,15,1697,5894
43,16,8219,24435
43,14,13627,43720
43,13,19795,59870
44,20,4,18
44,21,15,63
44,19,16,72
44,18,17,81
44,20,31,115
44,17,61,276
44,18,108,393
44,16,995,2668
44,17,1775,5312
44,15,3269,9962
44,16,3874,11712
44,14,11886,30129
44,14,16358,40657
45,25,6,23
45,23,14,60
45,21,17,82
45,23,62,231
45,22,62,237
45,19,63,239
45,21,197,691
45,18,323,973
45,18,344,1083
45,20,356,1143
45,16,367,1203
45,15,1137,2426
45,16,3237,8349
45,17,13062,33190
45,14,34446,64123
45,15,40741,79664
46,15,10,13
46,17,20,29
46,16,21,37
46,13,21,43
46,15,36,119
46,14,1153,4098
46,13,1197,4355
46,12,1208,4418
46,12,3889,14693
46,13,11103,39976
46,11,18669,64454
47,18,3,15
47,17,8,39
47,17,10,58
47,16,36,158
47,15,213,825
47,16,438,1673
47,14,2005,6666
47,14,9187,26751
47,15,14879,40472
48,22,5,20
48,23,11,59
48,21,30,151
48,19,34,176
48,21,59,342
48,16,103,532
48,17,112,601
48,18,251,1239
48,15,1167,4463
48,16,1312,5164
48,17,3944,14319
48,15,18639,56275
49,20,14,17
49,19,61,78
49,20,183,285
49,19,183,285
49,16,191,301
49,18,252,351
49,17,410,771
49,15,410,772
49,14,1058,1636
49,16,1058,1640
49,13,2579,4588
49,15,3814,6703
49,13,16155,26984
50,19,6,17
50,18,19,46
50,18,31,98
50,17,68,226
50,16,184,669
50,15,718,1677
50,15,2090,6139
50,14,12778,33606
50,16,47796,93196
51,19,7,16
51,18,15,31
51,17,51,124
51,16,56,152
51,18,73,210
51,17,82,241
51,16,87,268
51,14,159,541
51,15,311,1098
51,14,1428,5198
51,14,2420,9085
51,13,4608,15990
51,13,6871,22275
51,12,14696,44175
52,20,3,17
52,21,13,87
52,19,16,107
52,20,23,128
52,19,26,145
52,18,80,491
52,18,173,1077
52,18,247,1545
52,17,1183,5326
52,16,1520,6630
52,17,2749,11702
52,16,12529,41808
52,16,14538,50700
52,15,21045,75828
52,15,23039,82164
52,15,23056,82275
52,14,42996,119597
53,22,6,19
53,17,9,34
53,17,15,61
53,16,32,146
53,16,47,203
53,15,73,345
53,15,98,461
53,14,135,639
53,14,252,1192
53,13,260,1247
53,15,352,1634
53,12,2327,4537
53,14,2362,4703
53,12,2806,6344
53,11,5140,12762
53,13,10639,23499
53,11,10661,23609
54,21,20,19
54,20,34,35
54,19,79,105
54,18,91,149
54,17,149,423
54,17,298,1042
54,15,298,1044
54,15,2145,6786
54,14,37374,78677
55,28,12,26
55,20,32,52
55,19,56,126
55,19,88,231
55,18,131,410
55,17,425,1206
55,18,566,1880
55,17,3960,15941
55,16,10603,34942
55,16,11592,39451
55,15,11695,39708
55,17,13776,46275
56,16,5,13
56,14,8,25
56,15,44,246
56,13,44,249
56,13,5047,24468
56,14,28498,91065
57,16,4,13
57,13,14,23
57,15,16,33
57,12,25,51
57,11,65,243
57,9,130,394
57,10,2703,3865
58,19,16,16
58,18,37,41
58,17,43,64
58,17,61,109
58,16,70,139
58,15,74,168
58,14,125,332
58,16,223,699
58,14,273,880
58,13,286,926
58,13,479,1634
58,12,1234,3322
58,14,2600,7459
58,12,2826,8478
58,11,4060,11209
58,11,30800,47767
59,14,3,11
59,13,6,34
59,12,8,46
59,11,16,126
59,12,19,156
59,11,133,1378
59,10,301,3093
59,10,3277,21855
59,11,6957,42583
60,21,4,18
60,20,11,53
60,19,19,107
60,17,44,195
60,19,149,667
60,16,213,1055
60,16,603,1673
60,15,1028,3551
60,17,2656,8612
60,15,40693,88027
61,19,8,17
61,20,23,39
61,17,30,72
61,19,35,88
61,18,75,191
61,17,233,916
61,16,288,1113
61,16,1125,3705
61,16,1407,4943
61,15,1909,7326
61,15,3727,13805
61,15,5696,20581
61,14,10480,34525
61,14,15879,52189
61,13,17829,58779
62,19,15,16
62,18,36,40
62,16,43,58
62,17,79,150
62,13,91,171
62,14,157,373
62,13,985,2076
62,12,1336,3528
62,12,10615,32345
62,11,15611,44563
63,19,5,16
63,19,8,35
63,18,12,57
63,18,14,74
63,17,33,179
63,16,49,285
63,17,56,339
63,16,133,808
63,15,169,1046
63,14,2219,8792
63,15,3636,13336
63,16,15206,45970
63,15,47672,103517
64,22,5,20
64,21,15,72
64,23,24,130
64,20,24,130
64,22,48,248
64,19,79,367
64,21,159,730
64,20,488,2222
64,19,2444,8831
64,17,2445,8835
65,20,6,17
65,19,25,70
65,20,54,150
65,18,71,224
65,18,103,332
65,17,104,338
65,16,178,619
65,15,820,2012
65,16,2154,6789
65,14,6633,21236
65,13,7808,24072
66,19,3,17
66,18,7,32
66,17,16,90
66,19,38,163
66,18,85,351
66,17,90,365
66,16,298,1458
66,15,329,1599
66,14,1480,5440
66,14,1549,5523
66,16,6998,23157
67,20,13,17
67,16,31,45
67,18,34,66
67,16,54,131
67,15,55,145
67,14,77,241
67,15,102,351
67,14,243,1051
67,13,247,1075
67,13,249,1090
67,12,595,2614
67,14,2173,7259
67,12,4620,15340
67,11,18561,52489
68,22,5,19
68,18,12,40
68,18,15,51
68,17,26,103
68,16,44,164
68,17,52,199
68,15,74,309
68,14,954,2604
68,16,1627,5064
68,14,2651,8789
68,15,12382,39239
68,13,36741,89823
69,16,6,14
69,15,19,30
69,14,20,37
69,15,22,53
69,13,119,307
69,12,390,1308
69,14,5114,13374
69,12,5114,13375
70,29,5,27
70,26,10,54
70,25,13,76
70,21,15,88
70,20,63,327
70,20,66,344
70,19,109,500
70,18,210,1044
70,19,214,1071
70,18,248,1227
70,18,1495,5630
70,17,1579,6062
70,16,1613,6218
70,17,2518,9689
70,16,3522,12684
70,15,4979,17471
70,16,8224,25900
70,15,8233,25958
70,13,43954,100546
71,19,10,17
71,21,28,43
71,20,35,86
71,17,37,105
71,19,41,121
71,18,87,239
71,16,709,1918
71,17,770,2318
71,15,777,2376
71,16,1579,4461
71,14,1579,4463
71,14,2855,8362
71,13,7360,20860
71,13,19535,42530
72,22,6,19
72,21,11,36
72,22,17,54
72,19,23,68
72,16,32,131
72,17,96,401
72,14,96,401
72,16,220,845
72,15,6087,18709
72,14,12210,35163
72,13,22066,59075
73,20,15,39
73,21,51,166
73,18,52,176
73,20,164,529
73,16,308,851
73,13,1480,4206
74,16,3,13
74,15,6,24
74,14,13,58
74,13,160,605
74,14,267,789
74,13,1336,3173
74,12,1435,3725
74,11,52876,65604
75,20,4,18
75,20,9,44
75,19,10,54
75,19,11,62
75,18,13,81
75,18,21,96
75,17,42,238
75,17,67,301
75,16,691,1676
75,15,746,1769
75,14,6323,14315
76,21,6,18
76,20,15,52
76,19,32,109
76,19,48,187
76,18,69,278
76,18,185,704
76,17,208,798
76,17,540,2079
76,16,1570,4312
76,16,6406,17545
77,15,3,12
77,16,9,52
77,14,80,282
77,15,84,297
77,14,106,397
77,13,225,738
77,12,422,1349
77,11,15831,30500
78,22,7,19
78,20,35,84
78,20,42,120
78,19,71,182
78,18,174,570
78,18,533,1895
78,18,677,2137
78,17,693,2199
78,16,1863,2297
78,17,3510,6636
78,16,4127,8841
78,14,7256,17824
78,15,7257,17831
78,14,7258,17838
78,13,9931,23814
78,13,13094,29247
79,20,10,17
79,20,22,37
79,17,28,49
79,19,36,63
79,16,46,97
79,17,101,186
79,16,258,578
79,15,427,932
79,16,1015,1763
79,15,1214,2157
79,14,10796,14689
79,14,17015,26098
79,13,21707,35500
80,17,6,15
80,18,14,29
80,16,23,76
80,15,23,78
80,15,160,799
80,13,161,805
80,14,308,1518
80,13,1230,2913
80,13,3667,13139
80,12,4546,16301
80,12,42583,103496
81,18,10,15
81,17,23,28
81,18,46,122
81,16,46,124
81,17,59,209
81,16,92,361
81,15,112,494
81,13,135,599
81,14,312,1246
81,13,2019,6256
82,22,15,19
82,18,23,34
82,20,29,58
82,17,43,100
82,17,47,121
82,16,51,142
82,15,119,370
82,16,441,907
82,15,8494,17624
82,13,8658,18461
83,17,5,14
83,16,18,46
83,16,21,67
83,14,49,158
83,14,495,1826
83,13,1242,3416
83,15,4147,13309
83,12,10300,33299
83,13,18467,51900
84,23,6,20
84,18,11,46
84,18,41,164
84,16,47,208
84,17,128,540
84,15,1116,3187
84,14,1162,3438
84,14,19396,45293
84,16,38642,71160
85,20,6,17
85,19,11,32
85,19,23,62
85,18,26,78
85,18,27,87
85,17,44,150
85,17,81,266
85,16,87,308
85,16,1059,2507
85,15,1193,3059
85,15,6384,16050
85,14,14138,32814
86,15,34,59
86,16,53,130
86,14,58,167
86,15,85,307
86,13,94,380
86,13,2069,7245
86,14,6228,17319
86,12,7504,23311
86,12,35070,97326
87,19,10,17
87,18,28,34
87,17,42,83
87,17,47,100
87,16,158,375
87,15,250,531
87,15,1512,4232
87,14,1984,5667
87,14,4287,11793
87,13,7885,19979
88,17,16,15
88,18,56,67
88,15,56,67
88,17,112,151
89,21,10,19
89,22,42,58
89,20,46,75
89,20,48,85
89,19,48,91
89,18,163,322
89,18,220,450
89,17,221,456
89,16,477,1135
89,16,1535,3199
89,17,10829,24999
89,14,42307,83090
90,18,9,15
90,17,19,40
90,17,19,46
90,16,26,92
90,15,30,123
90,14,61,330
90,15,88,440
90,13,88,444
90,12,141,760
90,14,240,1287
90,12,3165,12347
90,11,16727,62385
91,17,5,14
91,13,21,66
91,15,46,123
91,14,54,143
91,11,54,144
91,13,92,242
91,11,1520,3673
92,18,4,16
92,17,9,34
92,16,12,44
92,17,13,52
92,16,14,58
92,15,30,138
92,15,59,286
92,14,60,294
92,14,159,748
92,13,1031,3056
92,12,16754,46080
93,16,7,13
93,17,22,65
93,15,54,238
93,14,295,1499
93,14,423,2052
93,13,3667,12687
93,15,5519,18170
93,13,12949,36901
93,12,18941,52025
94,22,8,19
94,23,32,109
94,21,40,148
94,21,69,259
94,19,157,643
94,20,268,1059
94,19,926,2904
94,19,1740,6528
94,18,1992,7211
94,17,2054,7476
94,18,6565,20436
94,16,19775,55163
94,16,19822,55398
95,21,8,18
95,19,20,40
95,19,26,53
95,18,60,186
95,17,68,226
95,18,69,232
95,17,69,237
95,16,166,727
95,16,348,1685
95,16,834,2511
95,15,947,3146
95,15,3107,12179
95,14,12192,46783
96,18,4,15
96,15,11,33
96,17,13,42
96,16,14,51
96,13,31,114
96,15,77,291
96,13,168,650
97,17,4,15
97,16,6,28
97,15,8,37
97,14,12,59
97,13,21,106
97,14,26,132
97,12,29,147
97,11,35,181
97,13,42,223
97,10,45,242
97,12,75,395
97,9,87,463
97,11,131,688
97,10,419,1141
97,8,602,2297
97,8,769,3280
98,18,10,16
98,17,26,35
98,19,69,133
98,16,80,151
98,15,81,160
98,14,871,2140
98,13,1294,3437
98,12,16874,35839
99,18,16,16
99,18,33,30
99,16,43,54
99,17,91,149
99,14,223,465
99,14,387,834
99,12,397,872
99,13,523,1239
99,12,4494,10631
99,11,6650,16205
100,19,4,17
100,19,11,53
100,17,16,80
100,18,34,136
100,17,100,368
100,16,117,462
100,15,255,936
100,16,337,1391
100,14,337,1394
100,14,3539,8964
100,13,7303,18572
100,13,42565,74709
